timestamp,fps,frameTime,drawCalls,triangles,gpuMemMB
1777380528425,0.4,0.00,50,2898,0.00
1777380529433,6.0,0.00,250,14490,0.00
1777380530426,10.4,0.00,550,31878,0.00
1777380531426,9.9,0.00,950,55062,0.00
1777380532426,6.1,0.00,1250,72450,0.00
1777380533426,9.9,0.00,1600,92736,0.00
1777380534426,8.8,0.00,1900,110124,0.00
1777380535426,9.8,0.00,2300,133308,0.00
1777380536426,10.2,0.00,2600,150696,0.00
1777380537426,8.5,0.00,3000,173880,0.00
1777380538426,9.5,0.00,3400,197064,0.00
1777380539426,8.7,0.00,3750,217350,0.00
1777380540426,12.6,0.00,4150,240534,0.00
1777380541426,6.2,0.00,4450,257922,0.00
1777380542427,9.7,0.00,4850,281106,0.00
1777380543426,6.2,0.00,5250,304290,0.00
1777380544426,13.2,0.00,5600,324576,0.00
1777380545426,9.2,0.00,5900,341964,0.00
1777380546429,8.7,0.00,6350,368046,0.00
1777380547426,8.5,0.00,6700,388332,0.00
1777380548426,10.4,0.00,7000,405720,0.00
1777380549426,22.1,0.00,7400,428904,0.00
1777380550426,9.8,0.00,7800,452088,0.00
1777380551426,26.3,0.00,8100,469476,0.00
1777380552426,8.7,0.00,8450,489762,0.00
1777380553426,6.7,0.00,8800,510048,0.00
1777380554426,9.8,0.00,9200,533232,0.00
1777380555427,9.6,0.00,9600,556416,0.00
1777380556427,10.0,0.00,10000,579600,0.00
1777380557426,9.7,0.00,10350,599886,0.00
1777380558426,10.0,0.00,10750,623070,0.00
1777380559428,9.8,0.00,11100,643356,0.00
1777380560427,7.1,0.00,11400,660744,0.00
1777380561426,10.1,0.00,11750,681030,0.00
1777380562427,9.8,0.00,12050,698418,0.00
1777380563427,9.7,0.00,12450,721602,0.00
1777380564426,10.0,0.00,12900,747684,0.00
1777380565426,9.5,0.00,13350,773766,0.00
1777380566426,26.8,0.00,13700,794052,0.00
1777380567426,9.3,0.00,14050,814338,0.00
1777380568428,10.1,0.00,14450,837522,0.00
1777380569426,9.3,0.00,14850,860706,0.00
1777380570426,12.8,0.00,15200,880992,0.00
1777380571426,9.4,0.00,15550,901278,0.00
1777380572426,21.3,0.00,15950,924462,0.00
1777380573427,9.6,0.00,16400,950544,0.00
1777380574426,6.3,0.00,16700,967932,0.00
1777380575426,7.6,0.00,17150,994014,0.00
1777380576426,27.5,0.00,17450,1011402,0.00
1777380577426,10.1,0.00,17800,1031688,0.00
1777380578426,9.1,0.00,18200,1054872,0.00
1777380579426,9.5,0.00,18650,1080954,0.00
1777380580426,8.8,0.00,19000,1101240,0.00
1777380581428,10.9,0.00,19300,1118628,0.00
1777380582426,10.0,0.00,19750,1144710,0.00
1777380583426,9.5,0.00,20200,1170792,0.00
1777380584427,7.9,0.00,20600,1193976,0.00
1777380585426,10.0,0.00,20900,1211364,0.00
1777380586426,9.6,0.00,21350,1237446,0.00
1777380587426,9.8,0.00,21750,1260630,0.00
1777380588427,10.3,0.00,22100,1280916,0.00